Bird ID,Site,Course,Date,Encounter,# shots
220252,TTRS,Anders Flat,1/23/2023,Pointed and Ran,0
220252,TTRS,Anders Flat,1/23/2023,Pointed Wild Flush,0
222234,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
222236,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
222233,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
222237,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
222238,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
221228,TTRS,Anders Flat,1/23/2023,Pointed & Shot,1
230299,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
230270,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
230274,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
230272,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
230269,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
230273,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
221249,TTRS,Anders Flat,1/23/2023,Pointed & Shot,2
220222,TTRS,Anders Flat,1/23/2023,Pointed & Shot,4
221279,TTRS,Anders Flat,1/23/2023,Pointed & Shot,4
221280,TTRS,Anders Flat,1/23/2023,Pointed & Shot,4
221277,TTRS,Anders Flat,1/23/2023,Pointed & Shot,4
221275,TTRS,Anders Flat,1/23/2023,Pointed & Shot,4
222129,TTRS,Anders Flat,1/23/2023,Passed and Ran,0
230304,TTRS,Anders Flat,1/23/2023,Passed and Ran,0
230310,TTRS,Anders Flat,1/23/2023,Passed and Ran,0
230306,TTRS,Anders Flat,1/23/2023,Passed and Ran,0
201252,TTRS,Anders Flat,1/23/2023,Not Pointed Wild Flush,0
230225,TTRS,Anders Flat,1/23/2023,Not Pointed Wild Flush,0
222011,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
222022,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
222026,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221025,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221028,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
222012,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
220117,TTRS,Tripsacum,1/24/2023,Pointed & Shot,3
230030,TTRS,Tripsacum,1/24/2023,Pointed & Shot,3
220152,TTRS,Tripsacum,1/24/2023,Pointed & Shot,3
230007,TTRS,Tripsacum,1/24/2023,Pointed & Shot,3
230029,TTRS,Tripsacum,1/24/2023,Pointed & Shot,3
221019,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221020,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221021,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221018,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221030,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
220151,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
221017,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
230011,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
220151,TTRS,Tripsacum,1/24/2023,Pointed & Shot,4
201106,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221204,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221203,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221209,TTRS,Tripsacum,1/24/2023,Not Encountered,0
220088,TTRS,Tripsacum,1/24/2023,Not Encountered,0
230213,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221207,TTRS,Tripsacum,1/24/2023,Not Encountered,0
220043,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221206,TTRS,Tripsacum,1/24/2023,Not Encountered,0
221015,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230092,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230089,TTRS,Beadel,1/26/2023,Pointed & Shot,4
220049,TTRS,Beadel,1/26/2023,Pointed & Shot,4
221013,TTRS,Beadel,1/26/2023,Passed and Held,0
211119,TTRS,Beadel,1/26/2023,Passed and Held,0
201037,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230043,TTRS,Beadel,1/26/2023,Passed and Held,0
230019,TTRS,Beadel,1/26/2023,Passed and Held,0
191122,TTRS,Beadel,1/26/2023,Passed and Held,0
230018,TTRS,Beadel,1/26/2023,Passed and Held,0
230020,TTRS,Beadel,1/26/2023,Passed and Held,0
210025,TTRS,Beadel,1/26/2023,Passed and Held,0
230035,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230032,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230033,TTRS,Beadel,1/26/2023,Pointed & Shot,4
230031,TTRS,Beadel,1/26/2023,Pointed & Shot,4
220252,TTRS,Anders Flat,2/2/2023,Pointed & Shot,3
222121,TTRS,Anders Flat,2/2/2023,Pointed & Shot,3
230261,TTRS,Anders Flat,2/2/2023,Pointed & Shot,3
222234,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
222236,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
222233,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
222237,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
222238,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
221228,TTRS,Anders Flat,2/2/2023,Pointed & Shot,4
230299,TTRS,Anders Flat,2/2/2023,Not Pointed Wild Flush,0
230270,TTRS,Anders Flat,2/2/2023,Not Pointed Wild Flush,0
230274,TTRS,Anders Flat,2/2/2023,Not Pointed Wild Flush,0
